stop_id,stop_name,stop_lon,stop_lat
istb.188634,YENİ MAHALLE,28.91975,41.05428
istb.188632,HAVUZBAŞI,28.91678,41.05535
istb.188145,GAZİOSMANPAŞA,28.91529,41.05735
istb.188631,HAVUZBAŞI,28.91726,41.05505
istb.188633,YENİ MAHALLE,28.92,41.05416
istb.189140,ÜÇ ŞEHİTLER,28.92287,41.05306
istb.188618,ARGAÇ SOKAK,28.92596,41.05191
istb.189139,İSLAMBEY,28.92844,41.05074
istb.188290,TAHTA MİNARE,28.92925,41.0496
istb.189137,HZ.HALİT BULVARI,28.93062,41.04726
istb.188980,EMİNÖNÜ,28.96961,41.01881
istb.183179,AKŞEMSETTİN MAH.,28.92478,41.08661
istb.184419,YEŞİLPINAR,28.91599,41.07251
istb.189083,TOPKAPI,28.92768,41.0209
istb.183760,ŞİRİNTEPE,28.99046,41.08808
istb.183757,ANIT,28.99371,41.08923
istb.183753,MERKEZ CAMİİ,28.99654,41.09027
istb.184173,KABATAŞ,28.99295,41.03425
istb.183754,MERKEZ CAMİİ,28.99693,41.09058
istb.183758,ANIT,28.99355,41.08919
istb.184020,SELTİK  SOKAK,28.99135,41.08884
istb.184404,AKARETLER,29.00224,41.04341
istb.183169,ŞAİR NEDİM,29.0005,41.04465
istb.184403,MURADİYE,29.00062,41.04865
istb.183303,B.TAŞ EVLENDİRME DA.,29.00154,41.04939
istb.183327,ENGELLİLER PARKI,29.00196,41.05173
istb.184396,FULYA TESİSLERİ,28.99972,41.05386
istb.184421,OTİM YOLU,28.99992,41.05672
istb.183273,OTİM,29.00183,41.0581
istb.184393,GAYRETTEPE DUTLUK,29.00527,41.05945
istb.183305,AYAZMA DERESİ,29.0067,41.061
istb.183304,AYAZMA DERESİ,29.00621,41.06045
istb.184394,GAYRETTEPE DUTLUK,29.005,41.05939
istb.183274,OTİM,29.00185,41.05825
istb.184422,OTİM YOLU,28.99908,41.05597
istb.184395,FULYA TESİSLERİ,28.99973,41.05356
istb.184400,IHLAMUR,29.00093,41.04987
istb.184402,MURADİYE,29.00008,41.04748
istb.183168,ŞAİR NEDİM,29.00026,41.04516
istb.184405,AKARETLER,29.00215,41.04332
istb.184416,MEHMETÇİK CADDESİ,28.99709,41.05664
istb.184398,FULYA MAHALLESİ,28.99648,41.05979
istb.184417,MEHMETÇİK CADDESİ,28.99706,41.05658
istb.184418,19 MAYIS MAHALLESİ,28.99167,41.0591
istb.184425,AKKİRMAN,28.99675,41.05611
istb.184399,IHLAMUR,29.00292,41.05141
istb.184391,EMİRHAN CADDESİ,29.00224,41.05424
istb.184543,DİKİLİTAŞ ÇARŞI,29.00317,41.05663
istb.184390,DİKİLİTAŞ ÇEŞME,29.00608,41.05641
istb.188952,BARBAROS SOKAK,29.0084,41.05697
istb.184388,DİKİLİTAŞ,29.00906,41.05812
istb.184389,DİKİLİTAŞ ÇEŞME,29.00651,41.05705
istb.184542,DİKİLİTAŞ ÇARŞI,29.00318,41.05663
istb.184392,EMİRHAN CADDESİ,29.00224,41.05422
istb.184401,IHLAMUR,29.00279,41.05199
istb.184010,YENİ UYUM,29.04156,41.19307
istb.183928,PARK,29.04205,41.19171
istb.183945,B-8 BLOK,29.04107,41.19045
istb.184014,AYKUT BARKA,29.04008,41.18785
istb.183812,GÜRGENSU SİTESİ,29.04148,41.18695
istb.183082,NALBANTÇEŞME,29.04256,41.18501
istb.183877,YUNUS EMRE,29.04193,41.1801
istb.183971,KOÇYILDIZ,29.04169,41.18205
istb.183725,SARIYER EVLERİ,29.04147,41.17824
istb.183878,BAHÇELER,29.04235,41.17725
istb.184045,ŞİFA YOLU,29.04392,41.17544
istb.184006,KİRAZLIK,29.04442,41.17406
istb.184018,SELVİ SOKAK,29.0456,41.1743
istb.183881,ŞİFA SUYU,29.04809,41.17425
istb.193307,TARABYA,29.05334,41.13795
istb.183611,HUZUR EVLER,29.04792,41.13598
istb.183609,HUZUR MAHALLESİ,29.04501,41.13589
istb.183613,TARABYA BAYIRI,29.04196,41.13656
istb.183614,TARABYA BAYIRI,29.04213,41.1364
istb.183610,HUZUR MAHALLESİ,29.04453,41.13585
istb.183612,HUZUR EVLER,29.04808,41.13589
istb.193309,TARABYA,29.05358,41.138
istb.183880,ŞİFA SUYU,29.04799,41.17421
istb.184017,SELVİ SOKAK,29.04559,41.17425
istb.184007,KİRAZLIK,29.04398,41.17446
istb.184046,ŞİFA YOLU,29.04366,41.17551
istb.183879,BAHÇELER,29.04269,41.17714
istb.183724,SARIYER EVLERİ,28.99853,41.11512
istb.183970,KOÇYILDIZ,29.04171,41.18194
istb.183876,YUNUS EMRE,29.04171,41.18207
istb.183081,NALBANTÇEŞME,29.04316,41.18493
istb.183811,GÜRGENSU SİTESİ,29.04168,41.18692
istb.184013,AYKUT BARKA,29.04018,41.18798
istb.184011,SİTELER YOLU,29.04075,41.18903
istb.183944,B-8 BLOK,29.04094,41.19032
istb.183927,PARK,29.04205,41.19176
istb.183828,ORTAÇEŞME,29.05696,41.17069
istb.183829,FISTIKLI BAĞLAR CAD.,29.05904,41.17238
istb.183830,ÖZENGİ SOKAK,29.06139,41.17345
istb.183831,HAVANTEPE CAMİİ,29.06343,41.17543
istb.183759,BİZİMTEPE,29.06327,41.17663
istb.183832,HAVANTEPE,29.06327,41.17803
istb.183972,HAVANTEPE SU DEPOSU,29.0576,41.17962
istb.183480,TAŞLIBAYIR,29.0558,41.18037
istb.183481,ESKİ KİLYOS YOLU,29.0527,41.17861
istb.183594,TAŞKIRAN MEVKİİ,29.05446,41.17749
istb.184175,KABATAŞ,28.99314,41.03427
istb.184000,SARIYER,29.05766,41.16896
istb.183037,YENİ MAHALLE,29.06086,41.17114
istb.183039,DALYAN,29.06448,41.17229
istb.183649,GEMİCİ,29.0,41.0
istb.183041,TELLİ BABA,29.07129,41.17519
istb.183043,KAVAK YOLU,29.07345,41.17762
istb.183047,RUMELİKAVAĞI,29.07385,41.18217
istb.183046,MENDİREK,29.07375,41.18064
istb.183044,KAVAK YOLU,29.07342,41.17781
istb.183042,TELLİ BABA,29.07105,41.17501
istb.183648,GEMİCİ,29.0,41.0
istb.183040,DALYAN,29.06431,41.1723
istb.183038,YENİ MAHALLE,29.06086,41.17114
istb.184001,SARIYER,29.05758,41.16884
istb.183747,KÖPRÜLÜ KAVŞAK,29.01164,41.06634
istb.185496,ZÜBEYDE HNM.ÖĞRT.EVİ,29.10483,40.98164
istb.186341,YAVUZSELİM,29.10787,40.98515
istb.186343,SİTELER GİRİŞİ,29.10947,40.98744
istb.186345,YAKUT,29.11225,40.98951
istb.186347,SEDEF,29.11612,40.9926
istb.185548,SİNPAŞ KORU KONUTLARI,29.13464,40.99374
istb.185550,ADIGÜZEL SİTESİ,29.13864,40.99387
istb.184993,PINAR SİTESİ,29.14293,40.99388
istb.185552,BARAJ YOLU,29.14592,40.99375
istb.185554,YUNUS EMRE İÖO,29.14865,40.99298
istb.186207,ÜSKÜDAR CADDESİ,29.16567,40.98296
istb.186601,DAĞ YOLU,29.16158,40.98026
istb.186598,BLOKLAR,29.15681,40.97843
istb.188093,YEDİTEPE ÜNİV.KAMPÜS,29.15397,40.97462
istb.186599,BLOKLAR,29.15694,40.97829
istb.186600,DAĞ YOLU,29.1617,40.98004
istb.186208,ÜSKÜDAR CADDESİ,29.1658,40.98293
istb.185553,YUNUS EMRE İÖO,29.1488,40.99304
istb.185551,BARAJ YOLU,29.14545,40.99399
istb.184992,PINAR SİTESİ,29.14247,40.99397
istb.185549,ADIGÜZEL SİTESİ,29.13832,40.99396
istb.185547,SİNPAŞ KORU KONUTL.,29.13443,40.99386
istb.186348,SEDEF,29.11616,40.99269
istb.186346,YAKUT,29.11202,40.98945
istb.186344,SİTELER GİRİŞİ,29.1093,40.98751
istb.186342,YAVUZSELİM,29.10841,40.98613
istb.183748,KÖPRÜLÜ KAVŞAK,29.01429,41.06564
istb.185271,KADIKÖY,29.02427,40.9951
istb.190604,KARTOPU SOKAK,29.24081,40.88824
istb.190602,FIRAT SOKAK,29.24347,40.88535
